Index,Time,Elevation,Leg.Dist,Leg.Time,Speed,Direction,LatLon,Lat,Lon,Distance,Time2,Time3
1,2007-08-21T17:40:13Z,4473,110,24,3,3,N40.78069 W111.88477,40.78069,-111.88477,0,0,0
2,2007-08-21T17:40:37Z,4484,106,24,3,16,N40.78099 W111.88474,40.78099,-111.88474,110,24,24
3,2007-08-21T17:41:01Z,4492,105,24,3,13,N40.78127 W111.88464,40.78127,-111.88464,216,48,48
4,2007-08-21T17:41:25Z,4503,132,29,3,18,N40.78155 W111.88455,40.78155,-111.88455,321,72,72
5,2007-08-21T17:41:54Z,4509,91,22,3,19,N40.78189 W111.88440,40.78189,-111.8844,453,101,101
6,2007-08-21T17:42:16Z,4514,20,4,3,37,N40.78213 W111.88429,40.78213,-111.88429,544,123,123
7,2007-08-21T17:42:20Z,4517,8,2,3,0,N40.78217 W111.88425,40.78217,-111.88425,564,127,127
8,2007-08-21T17:42:22Z,4517,98,22,3,29,N40.78219 W111.88425,40.78219,-111.88425,572,129,129
9,2007-08-21T17:42:44Z,4523,114,27,3,35,N40.78243 W111.88408,40.78243,-111.88408,670,151,151
10,2007-08-21T17:43:11Z,4525,93,23,3,22,N40.78269 W111.88384,40.78269,-111.88384,784,178,178
11,2007-08-21T17:43:34Z,4523,112,25,3,12,N40.78292 W111.88371,40.78292,-111.88371,877,201,201
12,2007-08-21T17:43:59Z,4528,112,25,3,25,N40.78322 W111.88363,40.78322,-111.88363,989,226,226
13,2007-08-21T17:44:24Z,4536,105,25,3,35,N40.78350 W111.88346,40.7835,-111.88346,1101,251,251
14,2007-08-21T17:44:49Z,4541,102,24,3,0,N40.78374 W111.88324,40.78374,-111.88324,1206,276,276
15,2007-08-21T17:45:13Z,4545,97,22,3,346,N40.78402 W111.88324,40.78402,-111.88324,1308,300,300
16,2007-08-21T17:45:35Z,4550,24,7,2,346,N40.78428 W111.88333,40.78428,-111.88333,1405,322,322
17,2007-08-21T17:45:42Z,4550,29,3,7,37,N40.78434 W111.88335,40.78434,-111.88335,1429,329,329
18,2007-08-21T17:45:45Z,4547,64,14,3,349,N40.78440 W111.88329,40.7844,-111.88329,1458,332,332
19,2007-08-21T17:45:59Z,4544,79,20,3,323,N40.78458 W111.88333,40.78458,-111.88333,1522,346,346
20,2007-08-21T17:46:19Z,4545,86,21,3,317,N40.78475 W111.88350,40.78475,-111.8835,1601,366,366
21,2007-08-21T17:46:40Z,4553,106,24,3,344,N40.78492 W111.88371,40.78492,-111.88371,1687,387,387
