Rk,Gm#,Date,,Tm, ,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
1,1,"Monday, Apr 6",boxscore,TOR,@,NYY,W,6,1,,1-0,1,Tied,Hutchison,Tanaka,,2:59,D,48469,+
2,2,"Wednesday, Apr 8",boxscore,TOR,@,NYY,L,3,4,,1-1,2,0.5,Betances,Loup,Miller,2:56,N,31020,-
3,3,"Thursday, Apr 9",boxscore,TOR,@,NYY,W,6,3,,2-1,1,Tied,Norris,Sabathia,Castro,2:52,N,32152,+
4,4,"Friday, Apr 10",boxscore,TOR,@,BAL,W,12,5,,3-1,1,Tied,Buehrle,Norris,,2:45,D,45936,++
5,5,"Saturday, Apr 11",boxscore,TOR,@,BAL,L,1,7,,3-2,2,1,Jimenez,Sanchez,,2:34,N,38897,-
6,6,"Sunday, Apr 12",boxscore,TOR,@,BAL,W,10,7,,4-2,1,Tied,Loup,Tillman,Castro,3:17,D,32522,+
7,7,"Monday, Apr 13",boxscore,TOR,,TBR,L,1,2,,4-3,2,1,Odorizzi,Dickey,Boxberger,2:30,N,48414,-
8,8,"Tuesday, Apr 14",boxscore,TOR,,TBR,L,2,3,,4-4,3,2,Geltz,Castro,Jepsen,3:06,N,17264,--
9,9,"Wednesday, Apr 15",boxscore,TOR,,TBR,W,12,7,,5-4,2,1,Buehrle,Ramirez,,3:02,N,15086,+
10,10,"Thursday, Apr 16",boxscore,TOR,,TBR,L,2,4,,5-5,4,1.5,Archer,Sanchez,Boxberger,3:00,N,14433,-
11,11,"Friday, Apr 17",boxscore,TOR,,ATL,L,7,8,,5-6,4,2.5,Martin,Cecil,Grilli,3:09,N,21397,--
12,12,"Saturday, Apr 18",boxscore,TOR,,ATL,W-wo,6,5,10,6-6,3,1.5,Cecil,Marimon,,2:41,D,34743,+
13,13,"Sunday, Apr 19",boxscore,TOR,,ATL,L,2,5,,6-7,4,1.5,Miller,Norris,Grilli,2:41,D,44794,-
14,14,"Tuesday, Apr 21",boxscore,TOR,,BAL,W,13,6,,7-7,2,2,Buehrle,Norris,,2:53,N,14184,+
15,15,"Wednesday, Apr 22",boxscore,TOR,,BAL,W,4,2,,8-7,2,1,Sanchez,Jimenez,Castro,2:36,N,15606,++
16,16,"Thursday, Apr 23",boxscore,TOR,,BAL,W,7,6,,9-7,1,Tied,Hutchison,Tillman,Castro,2:36,N,18581,+++
17,17,"Friday, Apr 24",boxscore,TOR,@,TBR,L,3,12,,9-8,3,1,Dominguez,Dickey,Andriese,2:29,N,11897,-
18,18,"Saturday, Apr 25",boxscore,TOR,@,TBR,L,2,4,,9-9,4,1,Frieri,Cecil,Boxberger,2:31,N,19772,--
19,19,"Sunday, Apr 26",boxscore,TOR,@,TBR,L,1,5,,9-10,4,2,Archer,Buehrle,,2:23,D,21107,---
20,20,"Monday, Apr 27",boxscore,TOR,@,BOS,L-wo,5,6,,9-11,5,3,Uehara,Castro,,2:48,N,34739,----
21,21,"Tuesday, Apr 28",boxscore,TOR,@,BOS,W,11,8,,10-11,4,3,Estrada,Buchholz,Cecil,4:01,N,33920,+
22,22,"Wednesday, Apr 29",boxscore,TOR,@,BOS,L,1,4,,10-12,5,3,Porcello,Dickey,Uehara,2:43,N,34220,-
23,23,"Thursday, Apr 30",boxscore,TOR,@,CLE,W,5,1,,11-12,5,2.5,Francis,House,,2:46,N,9798,+
24,24,"Friday, May 1",boxscore,TOR,@,CLE,L,4,9,,11-13,5,3.5,Carrasco,Buehrle,,2:37,N,15088,-
25,25,"Saturday, May 2",boxscore,TOR,@,CLE,W,11,4,,12-13,5,3.5,Sanchez,Kluber,,3:23,D,18008,+
26,26,"Sunday, May 3",boxscore,TOR,@,CLE,L,7,10,,12-14,5,4.5,Rzepczynski,Francis,,3:06,D,16128,-
27,27,"Monday, May 4",boxscore,TOR,,NYY,W,3,1,,13-14,4,3.5,Dickey,Martin,Cecil,2:18,N,19217,+
28,28,"Tuesday, May 5",boxscore,TOR,,NYY,L,3,6,,13-15,5,4.5,Pineda,Estrada,Miller,2:54,N,21519,-
29,29,"Wednesday, May 6",boxscore,TOR,,NYY,W,5,1,,14-15,3,3.5,Buehrle,Sabathia,,2:30,N,21312,+
30,30,"Friday, May 8",boxscore,TOR,,BOS,W,7,0,,15-15,3,4,Sanchez,Miley,,2:41,N,30430,++
31,31,"Saturday, May 9",boxscore,TOR,,BOS,W,7,1,,16-15,3,3,Hutchison,Kelly,,3:12,D,42917,+++
32,32,"Sunday, May 10",boxscore,TOR,,BOS,L,3,6,,16-16,3,4,Buchholz,Dickey,Uehara,2:38,D,42419,-
33,33,"Monday, May 11",boxscore,TOR,@,BAL,L,2,5,,16-17,3,5,Jimenez,Estrada,Britton,2:43,N,20468,--
34,34,"Tuesday, May 12",boxscore,TOR,@,BAL,W,10,2,,17-17,3,4,Buehrle,Tillman,,2:37,N,17319,+
35,35,"Wednesday, May 13",boxscore,TOR,@,BAL,L,1,6,,17-18,3,4,Gonzalez,Sanchez,O'Day,2:39,N,24654,-
36,36,"Thursday, May 14",boxscore,TOR,@,HOU,L,4,6,,17-19,4,4,Fields,Loup,Qualls,2:48,N,15777,--
37,37,"Friday, May 15",boxscore,TOR,@,HOU,L,4,8,,17-20,4,4,Keuchel,Dickey,,2:29,N,21653,---
38,38,"Saturday, May 16",boxscore,TOR,@,HOU,L,5,6,,17-21,4,5,Feldman,Francis,Gregerson,3:08,N,27102,----
39,39,"Sunday, May 17",boxscore,TOR,@,HOU,L,2,4,,17-22,5,5,McHugh,Buehrle,Gregerson,2:22,D,25307,-----
40,40,"Monday, May 18",boxscore,TOR,,LAA,W,10,6,,18-22,5,4.5,Osuna,Morin,,3:28,D,29306,+
41,41,"Tuesday, May 19",boxscore,TOR,,LAA,L,2,3,,18-23,5,4.5,Santiago,Sanchez,Street,2:32,N,15062,-
42,42,"Wednesday, May 20",boxscore,TOR,,LAA,L,3,4,,18-24,5,4.5,Weaver,Hutchison,Street,2:36,N,16402,--
43,43,"Thursday, May 21",boxscore,TOR,,LAA,W,8,4,,19-24,5,4.5,Dickey,Shoemaker,,2:22,N,19014,+
44,44,"Friday, May 22",boxscore,TOR,,SEA,L,3,4,,19-25,5,5.5,Hernandez,Estrada,Rodney,2:30,N,21195,-
45,45,"Saturday, May 23",boxscore,TOR,,SEA,L,2,3,,19-26,5,5.5,Paxton,Buehrle,Rodney,2:25,D,33086,--
46,46,"Sunday, May 24",boxscore,TOR,,SEA,W,8,2,,20-26,5,4.5,Sanchez,Walker,,2:50,D,37929,+
47,47,"Monday, May 25",boxscore,TOR,,CHW,W,6,0,,21-26,5,3.5,Hutchison,Noesi,,2:10,N,15168,++
48,48,"Tuesday, May 26",boxscore,TOR,,CHW,W-wo,10,9,,22-26,4,3,Delabar,Robertson,,3:12,N,17276,+++
