person_id,Baseball,Football,Basketball,Tennis,Cycling,Swimming,Jogging
1,1,3,7,2,4,5,6
2,1,3,2,5,4,7,6
3,1,3,2,5,4,7,6
4,4,7,3,1,5,6,2
5,2,3,1,7,6,5,4
6,6,3,4,7,2,1,5
7,5,7,3,4,2,1,6
8,5,4,7,1,2,3,6
9,6,7,5,3,4,1,2
10,7,5,3,1,4,2,6
11,4,6,5,3,2,1,7
12,1,4,5,6,7,3,2
13,5,7,4,1,2,6,3
14,4,1,3,2,6,5,7
15,2,1,3,5,6,7,4
16,7,5,1,6,3,4,2
17,7,6,5,1,3,2,4
18,1,3,4,7,5,6,2
19,1,2,3,4,5,6,7
20,3,2,4,1,5,6,7
21,3,7,6,5,4,2,1
22,4,1,6,2,5,3,7
23,1,5,4,3,2,6,7
24,7,6,3,2,1,4,5
25,7,6,1,4,2,3,5
26,1,2,3,5,4,7,6
27,6,3,1,5,4,2,7
28,6,7,4,3,2,1,5
29,2,4,5,1,6,3,7
30,6,7,5,4,2,3,1
31,6,7,5,4,2,3,1
32,6,7,5,4,2,3,1
33,2,5,1,3,6,4,7
34,3,1,2,4,5,7,6
35,1,5,2,7,3,6,4
36,3,1,2,7,4,6,5
37,4,6,7,1,3,2,5
38,1,3,2,6,5,7,4
39,3,5,2,1,7,6,4
40,7,6,2,1,5,4,3
41,4,6,7,2,5,3,1
42,7,6,5,1,2,4,3
43,1,6,2,3,4,7,5
44,3,4,5,7,6,2,1
45,7,1,3,2,5,4,6
46,2,7,6,4,5,1,3
47,1,5,3,2,4,6,7
48,1,3,2,5,7,6,4
49,2,5,3,1,4,6,7
50,2,5,3,1,4,6,7
51,7,5,6,1,2,3,4
52,3,1,2,5,6,4,7
53,1,2,7,5,3,4,6
54,3,7,5,4,2,6,1
55,4,3,5,7,2,1,6
56,2,1,3,7,5,6,4
57,2,3,4,1,5,6,7
58,2,3,4,1,6,5,7
59,1,7,6,5,3,2,4
60,2,3,1,5,6,4,7
61,3,1,2,5,6,7,4
62,6,3,1,5,7,4,2
63,6,7,4,1,2,5,3
64,5,4,7,6,2,1,3
65,4,1,7,2,6,5,3
66,1,3,4,6,2,5,7
67,4,5,7,1,3,6,2
68,5,7,6,1,4,2,3
69,5,6,4,3,2,1,7
70,2,7,4,5,1,3,6
71,4,6,5,3,1,2,7
72,4,7,6,2,3,1,5
73,6,2,4,5,1,3,7
74,4,6,1,5,3,2,7
75,4,6,1,7,3,2,5
76,7,4,5,6,1,3,2
77,1,2,3,4,5,7,6
78,5,1,2,4,3,6,7
79,1,5,4,6,2,3,7
80,6,7,5,3,2,1,4
81,5,6,3,7,1,4,2
82,1,2,3,4,6,5,7
83,6,4,5,2,1,3,7
84,1,4,7,3,2,5,6
85,2,1,5,6,3,4,7
86,6,1,5,3,4,2,7
87,3,6,5,4,1,2,7
88,3,7,2,4,6,1,5
89,7,4,1,3,5,2,6
90,4,6,3,5,2,7,1
91,4,1,3,5,2,7,6
92,4,6,7,5,1,2,3
93,4,5,7,6,2,1,3
94,3,7,4,6,2,1,5
95,4,7,3,5,1,2,6
96,6,7,3,1,2,4,5
97,4,1,2,3,5,6,7
98,2,1,4,3,6,7,5
99,2,4,3,7,1,5,6
100,4,2,1,3,5,6,7
101,6,2,4,7,3,1,5
102,7,6,4,3,1,2,5
103,4,5,3,1,6,7,2
104,5,1,2,6,4,3,7
105,1,3,2,5,6,4,7
106,1,4,3,2,5,7,6
107,7,5,3,4,1,2,6
108,7,6,4,5,3,2,1
109,6,7,2,4,1,3,5
110,2,3,1,4,6,5,7
111,6,7,4,3,1,2,5
112,7,2,5,3,6,1,4
113,6,1,2,5,3,4,7
114,6,7,4,1,3,2,5
115,1,7,4,3,5,2,6
116,5,6,4,2,3,1,7
117,3,1,2,7,5,4,6
118,7,4,6,3,5,1,2
119,3,2,1,4,6,5,7
120,3,7,4,5,2,1,6
121,5,6,4,3,1,2,7
122,4,7,2,3,5,1,6
123,6,7,5,4,1,2,3
124,1,3,4,5,6,2,7
125,3,4,6,7,2,5,1
126,1,2,5,6,3,4,7
127,3,2,1,4,7,5,6
128,3,2,1,4,5,6,7
129,5,7,6,4,1,3,2
130,2,1,6,7,3,5,4
