"name" "x100m" "long.jump" "shot.put" "high.jump" "x400m" "x110mh" "discus" "pole.vault" "javelin" "x1500m"
"Ashton Eaton" 10.35 7.73 14.39 1.93 46.02 13.72 45 5.2 64.83 269.8
"Damian Warner" 10.43 7.39 14.23 2.05 48.41 13.96 44.13 4.8 64.67 269.97
"Rico Freimuth" 10.6 7.22 14.8 1.99 48.05 13.9 48.74 4.9 56.21 277.83
"Mihail Dudas" 10.67 7.51 13.45 1.96 47.73 14.59 44.06 4.9 59.06 266.62
"Michael Schrader" 10.73 7.85 14.56 1.99 47.66 14.29 46.44 5 65.67 265.38
"Carlos Chinin" 10.78 7.54 14.49 1.96 48.8 14.05 45.84 5.1 59.98 276.01
"Gunnar Nixon" 10.84 7.8 14.68 2.14 48.56 14.57 42.38 4.6 57.97 275.82
"Eelco Sintnicolaas" 10.85 7.65 14.08 2.02 48.25 14.18 39.21 5.3 56.75 264.64
"Pascal Behrenbruch" 10.95 7.19 15.86 1.99 48.4 14.46 45.66 4.7 67.07 277.21
"Willem Coertzen" 10.95 7.44 13.88 2.05 48.32 14.3 43.25 4.5 69.35 264.6
"Ilya Shkurenyov" 10.97 7.35 13.88 2.05 48.39 14.34 44.06 5.4 59.46 276.95
"Eduard Mikhan" 10.97 7.42 14.15 1.96 48.8 14.82 48 4.6 50.74 273.71
"Sergey Sviridov" 10.98 7.3 14.2 1.9 51.13 15.23 45.26 4.5 69.38 286.43
"Leonel Suarez" 11.07 7.33 14.2 1.9 48.21 14.62 46.41 4.9 68.61 263.87
"Thomas van der Plaetsen" 11.09 7.64 13.57 2.05 49 14.66 41.17 5.1 65.31 277.93
"Artem Lukyanenko" 11.11 7.09 14.43 1.99 49.01 14.21 44.06 5 61.83 272.97
"Brent Newdick" 11.14 7.28 13.84 2.02 50.25 15.19 42.49 4.5 57.3 278.54
"Pelle Rietveld" 11.15 6.68 13.21 1.9 48.67 14.37 38.06 5.1 64.38 275.94
"Andrei Krauchanka" 11.19 7.39 14.84 2.11 49.65 14.44 46.12 5.1 59.98 279.63
"Maicel Uibo" 11.21 7.26 13.68 2.11 50.6 15.29 41.84 4.9 59.63 288.29
"Kevin Mayer" 11.23 7.5 13.76 2.05 49.53 14.21 45.37 5.2 66.09 265.04
"Mikk Pahapill" 11.33 7.12 14.87 1.99 49.84 14.54 47.57 5 62.89 273.16
"Marcus Nilsson" 11.42 6.62 14.81 1.87 50.56 15.04 42.49 4.5 54.86 260.11
"Keisuke Ushiro" 11.44 6.84 13.17 1.96 51.2 15.32 45.31 4.9 67.65 278.91
