101 A  12 22.3 25.3 28.2 30.6 5 0
102 A  11 22.8 27.5 33.3 35.8 5 0
104 B  12 22.8 30.0 32.8 31.0 4 0
110 A  12 18.5 26.0 29.0 27.9 5 1
122 B   9 19.5 25.0 25.3 26.6 5 1
123 B  11 23.5 28.8 34.2 35.6 5 0
134 C   8 22.6 26.7 28.0 33.4 3 0
150 B   8 21.0 26.7 27.5 29.5 5 0
162 B   7 20.9 28.9 29.7 25.9 2 1
187 A  11 22.5 29.3 32.6 33.7 2 0
198 B  12 23.4 29.2 30.4 35.1 2 0
201 B  14 22.5 29.3 33.4 34.8 5 0
220 B   9 19.3 25.5 26.2 25.1 3 1
221 B  10 18.5 24.4 26.5 26.7 4 1
237 B   7 20.2 28.8 33.5 28.1 5 1
282 B  13 21.3 28.7 32.3 30.3 2 0
298 B   6 20.0 24.5 26.9 29.6 5 1
307 C  11 22.6 30.1 34.4 35.2 1 0
311 B  12 20.8 23.7 26.1 32.7 5 1
312 A   4 17.0 21.3 22.7 21.2 5 1
343 B  11 19.0 25.2 27.7 25.1 1 1
376 B   9 21.1 28.1 34.0 31.9 5 0
388 C  13 21.0 27.2 29.7 30.5 5 0
390 A   6 21.3 30.5 30.7 30.1 4 0
403 B   9 21.6 30.3 33.7 31.9 5 0
404 B   7 19.2 27.6 31.5 29.3 5 1
410 B  13 22.2 30.4 32.1 35.2 1 0
412 C   9 19.0 22.5 24.9 26.6 4 1
444 B  13 24.2 32.3 33.8 35.0 4 0
445 A  12 22.1 31.3 31.6 31.6 3 1
450 C  10 20.2 25.5 27.8 31.9 4 0
461 B  13 21.3 27.1 31.4 32.6 5 1
467 C  11 20.8 28.4 33.6 27.4 5 1
501 B   8 19.2 24.0 27.9 25.5 5 1
503 B  11 22.7 31.6 32.4 29.0 5 0
504 B  15 21.5 26.9 29.3 28.2 5 0
505 C  12 23.9 29.1 34.2 36.1 4 0
530 C  14 23.5 31.1 35.9 32.8 5 0
543 A  10 20.8 28.6 34.2 30.0 5 1
544 A  10 18.1 23.8 29.0 27.8 5 1
550 A  13 23.0 26.4 29.9 31.8 3 0
561 A  13 21.5 27.0 32.6 34.3 3 0
566 C  10 23.9 30.7 31.8 34.4 5 0
575 B   8 21.2 25.7 28.9 31.6 2 0
578 C  12 21.6 28.1 30.9 34.1 5 0
589 B   7 22.0 25.5 28.2 30.9 2 0
591 B  13 23.7 32.3 34.1 33.5 3 0
593 B  11 18.9 23.1 27.7 25.6 2 1
599 B   9 20.5 24.8 30.3 32.8 5 1
604 B  12 22.4 27.2 31.8 35.6 4 0
