iid,gender,department,level,sentiment,intention,departure_date,how_long
dad26b9ee392cb7197bc7df941b92e2b,M,IT,High,3,8,2019-01-31,31
0fa80c4c486e1d22ef1ae51373c21e56,F,Finance,Low,8,4,NA,731
e122762138e5e1b1c9cd09d1f3935c13,M,HR,Medium,7,7,2019-11-30,334
f67f76e945aa8ce99454c66c47b78c87,M,Finance,Low,8,4,NA,731
bd3276714f5f60d356309f1533a24920,M,Finance,High,7,6,2019-02-28,59
e8edf7a19afb5841a8e6997e467dbfbf,F,R&D,Medium,6,10,2019-05-31,151
813f1f5bd1b472374e763da70ed5a098,M,HR,Medium,8,2,NA,731
7eb52d222c0eab884a5c06bce601b044,M,Finance,Low,7,9,NA,731
b0f5468f305c719192575909563e7ea6,M,IT,High,7,6,2019-11-30,334
f10adcf3b072eab6c7486c40ec63952b,M,Strategy & Operations,Low,7,4,NA,731
aa95e2c7100ed9921cb69bf13ae7dcc9,F,HR,Medium,8,3,NA,731
86d665dc11c92142b46db64260223cbe,F,Finance,Medium,8,9,2019-07-31,212
27766e11287531c9385c79305f13d6ee,F,HR,Low,4,4,2019-11-30,334
06494146f3ddf1689a80379437e3e768,M,R&D,Medium,7,2,2020-04-30,486
a062e1102c9a3ab6c0e162c3e67fa1aa,M,Finance,Low,7,4,2019-09-30,273
12394413aae854696715503924434cd8,F,Finance,Medium,7,2,NA,731
6ef118c83410e340719ac4d2c6254358,M,HR,Low,8,4,2019-06-30,181
1b5e10a45a2cd9eedf26714067649799,F,Finance,Low,7,3,NA,731
471c08640258fb1ff207844cee1e586d,M,HR,Medium,8,4,2019-07-31,212
1d4b46debead42f5b85420f2e2d4cd59,M,Finance,High,7,4,NA,731
0e8d68cd73c293a8eeb25582c0fdc74a,M,Finance,Low,10,4,2020-05-31,517
cf7f9c74287be64b681285c7a2577389,M,HR,Low,10,3,NA,731
9262b0e10ae99a7333e609b3855d5a01,F,Sales/Marketing,Medium,10,4,NA,731
6f2257660c8054de00d09e651357ff27,F,Finance,Medium,8,4,NA,731
5eb3bfcc2af6b3f76734fce412a4d920,M,IT,Low,8,2,NA,731
537fa17417a4c3ae4789b5dcadf33908,M,HR,Medium,6,6,NA,731
6e978a5f5d6a74310c8e729c089aa80b,M,Finance,High,8,6,2020-05-31,517
50e51942389e4628cf8a840b26f5f712,M,IT,Low,4,5,2019-09-30,273
e2054625c38d42ae820ab5e3ee08273a,M,HR,High,7,2,2020-10-31,670
00b302fe3a99951bee9f000cc0204adb,M,Sales/Marketing,Low,10,5,2020-09-30,639
f8058a477a0247ffe395705d306a31a8,M,IT,Low,8,6,2019-07-31,212
dc6b2459b0a577fd1145926bd22ca391,M,Finance,Low,7,2,NA,731
d4e99c7206b9cf031bd5c6c3286d0d94,M,Finance,High,8,7,2019-07-31,212
8170a02ff91942c3711b4f519322f1dc,F,Strategy & Operations,Medium,6,5,2019-03-31,90
650610f17480bb48833ee56930051a6e,M,HR,Low,7,9,2020-10-31,670
6c95af8c1d249f5706af2ba64753f013,M,Sales/Marketing,Low,7,3,2019-03-31,90
9877600e25f93d20f9186be54a657107,F,Finance,Low,8,7,NA,731
1349fbc6e5d5688f0ac2037a90019e51,F,HR,Low,10,2,NA,731
a7d80f56d4c852720b09cb23b375eebd,M,R&D,Low,9,3,2020-07-31,578
c376c62990d8b56c77844f5369f700fe,M,IT,High,10,3,2019-11-30,334
be7bc6f101c1aa3508ed4e8768d2aad4,F,Strategy & Operations,Low,8,2,NA,731
5b4642439d0cfdc234d1294fcf918a14,M,Finance,Low,9,3,NA,731
f6be805ce67338eb40a3274c64d7799e,M,HR,Low,8,4,NA,731
f8b4f38236aba307dac1e4e58cde5f27,M,Finance,Low,7,3,NA,731
9312cfd980acc0908d0506d2be82d947,M,Finance,Medium,8,3,NA,731
68448fe0f99b03cffb8115e76a5d6d12,M,HR,Low,7,4,NA,731
8485b81d568eaccb0e96c7e717a63167,M,Finance,Low,10,3,2019-12-31,365
783ec7bc24b5389259117598e7fbe542,F,HR,Low,8,3,NA,731
ff1422f9472a20fdb9954792bdd936f1,M,HR,Medium,5,8,2019-03-31,90
9218e7cd990ee5081b714b2880a83d10,F,HR,High,9,7,2019-08-31,243
44601466da7fdca73d532a1b76a4170c,M,HR,Low,6,3,NA,731
d81236a760fc0d5df3ec349b2f3652e5,M,Finance,Low,7,6,2019-05-31,151
a7e3a52eaab029601f469c3b2d7f140e,M,IT,Low,9,2,NA,731
4d49cf46c067f4ed0737572f3b3a9b44,M,Finance,Medium,7,4,2019-09-30,273
c6a71349f7c0482c114f57afd22e803b,M,IT,Low,7,3,NA,731
13ef3ac90e1773c35dad6327bcb0cff1,M,Finance,Low,8,4,NA,731
ac9fa7596ce269da2853400871feee2d,M,Finance,Low,7,4,NA,731
0ffa41338d193559abc412feda040734,F,IT,Low,7,4,NA,731
98692aa9d33b98c32830953d36a02694,M,HR,Low,7,4,NA,731
5305b408ff3b579153f8a5bf42fa0f98,F,Sales/Marketing,Low,10,6,2020-11-30,700
721273f09b3adeb01230a3592fade169,M,HR,Medium,10,1,NA,731
