subject,gender,age,trait,stereotype
1,female,7,smart,0.611111111
2,female,7,smart,0.277777778
3,female,7,smart,0.722222222
4,male,6,smart,0.555555556
5,male,7,smart,1
6,male,5,smart,1
7,female,5,smart,0.388888889
8,female,5,smart,0.722222222
9,female,5,smart,0.722222222
10,male,5,smart,0.611111111
11,female,6,smart,0.388888889
12,female,7,smart,0.333333333
13,male,6,smart,0.888888889
14,male,6,smart,0.833333333
15,female,5,smart,0.833333333
16,female,5,smart,0.888888889
17,female,6,smart,0.444444444
18,male,6,smart,0.722222222
19,female,6,smart,0.888888889
20,male,6,smart,0.388888889
21,female,6,smart,0.277777778
22,female,5,smart,1
23,male,5,smart,1
24,female,5,smart,0.888888889
25,female,6,smart,0.777777778
26,female,6,smart,0.722222222
27,male,7,smart,0.722222222
28,female,5,smart,0.388888889
29,female,7,smart,0.722222222
30,female,5,smart,0.611111111
31,female,5,smart,0.333333333
32,male,6,smart,0.777777778
33,female,5,smart,0.777777778
34,male,5,smart,0.777777778
35,female,6,smart,0.166666667
36,male,7,smart,0.277777778
37,female,5,smart,0.611111111
38,female,7,smart,0.722222222
39,male,5,smart,0.777777778
40,female,6,smart,0.222222222
41,female,7,smart,0.611111111
42,female,7,smart,0.555555556
43,female,7,smart,0.611111111
44,female,6,smart,0.5
45,female,7,smart,0.277777778
46,female,7,smart,0.722222222
47,male,7,smart,0.888888889
48,male,5,smart,0.555555556
49,male,7,smart,0.833333333
50,male,5,smart,0.444444444
51,male,7,smart,0.277777778
52,female,7,smart,0.111111111
53,male,7,smart,0.833333333
54,male,5,smart,0.166666667
55,male,5,smart,0.611111111
56,female,5,smart,0.777777778
57,male,7,smart,0.444444444
58,male,5,smart,0.888888889
59,female,6,smart,0.888888889
60,male,6,smart,0.444444444
61,male,5,smart,0.722222222
62,male,5,smart,0.722222222
63,female,5,smart,0.722222222
64,male,7,smart,0.5
65,female,6,smart,0.388888889
66,male,5,smart,0.611111111
67,male,6,smart,0.722222222
68,male,6,smart,0.777777778
69,male,6,smart,0.722222222
70,female,6,smart,0.444444444
71,male,6,smart,0.722222222
72,female,6,smart,0.444444444
73,male,7,smart,0.444444444
74,female,5,smart,0.722222222
75,female,7,smart,0.333333333
76,male,6,smart,0.111111111
77,female,6,smart,0.611111111
78,male,6,smart,0.5
79,male,7,smart,0.555555556
80,male,6,smart,0.722222222
81,male,5,smart,0.666666667
82,male,5,smart,0.722222222
83,male,6,smart,0.777777778
84,female,7,smart,0.5
85,female,6,smart,0.277777778
86,female,6,smart,0.166666667
87,female,7,smart,0.611111111
88,male,7,smart,1
89,male,7,smart,0.833333333
90,male,7,smart,1
91,male,7,smart,0.388888889
92,male,7,smart,0.833333333
93,male,6,smart,0.722222222
94,male,5,smart,1
95,female,5,smart,0.722222222
96,female,7,smart,0.888888889
1,female,7,nice,0.555555556
2,female,7,nice,0.555555556
3,female,7,nice,0.444444444
4,male,6,nice,0.111111111
5,male,7,nice,0.666666667
6,male,5,nice,0.777777778
7,female,5,nice,0.111111111
8,female,5,nice,0.611111111
9,female,5,nice,0.5
10,male,5,nice,0.722222222
11,female,6,nice,0.444444444
12,female,7,nice,0.722222222
13,male,6,nice,0.277777778
14,male,6,nice,0.444444444
15,female,5,nice,0.111111111
16,female,5,nice,0.611111111
17,female,6,nice,0.555555556
18,male,6,nice,0.777777778
19,female,6,nice,0.777777778
20,male,6,nice,0.611111111
21,female,6,nice,0.722222222
22,female,5,nice,0
23,male,5,nice,0.5
24,female,5,nice,0.777777778
25,female,6,nice,0.611111111
26,female,6,nice,0.611111111
27,male,7,nice,0.388888889
28,female,5,nice,0.777777778
29,female,7,nice,0.444444444
30,female,5,nice,0.833333333
31,female,5,nice,1
32,male,6,nice,0.555555556
33,female,5,nice,0.888888889
34,male,5,nice,0.388888889
35,female,6,nice,0.833333333
36,male,7,nice,0.222222222
37,female,5,nice,0.388888889
38,female,7,nice,0.277777778
39,male,5,nice,0.722222222
40,female,6,nice,0.833333333
41,female,7,nice,0.666666667
42,female,7,nice,0.444444444
43,female,7,nice,0.888888889
44,female,6,nice,0.722222222
45,female,7,nice,0.722222222
46,female,7,nice,0.611111111
47,male,7,nice,0.611111111
48,male,5,nice,0.611111111
49,male,7,nice,0.277777778
50,male,5,nice,0.333333333
51,male,7,nice,0.388888889
52,female,7,nice,0.611111111
53,male,7,nice,0.333333333
54,male,5,nice,0.888888889
