State,Verbal,Math,PctTook
AL,562,558,8
AK,521,520,52
AZ,525,528,32
AR,568,555,6
CA,497,516,47
CO,537,542,31
CT,510,509,80
DE,501,493,70
DC,488,476,83
FL,500,501,52
GA,486,482,64
HI,483,513,55
ID,545,544,16
IL,564,581,13
IN,497,500,59
IA,593,601,5
KS,582,585,9
KY,547,550,13
LA,562,558,8
ME,504,501,68
MD,506,508,65
MA,508,508,77
MI,558,569,11
MN,585,598,9
MS,562,549,4
MO,570,573,8
MT,543,546,24
NE,565,571,8
NV,510,513,33
NH,523,520,74
NJ,497,508,79
NM,554,551,12
NY,495,503,76
NC,490,492,62
ND,590,599,5
OH,536,540,24
OK,568,564,8
OR,528,528,53
PA,497,495,71
RI,501,495,72
SC,478,473,61
SD,584,581,5
TN,564,567,13
TX,494,501,51
UT,572,570,4
VT,508,504,71
VA,507,499,66
WA,524,526,53
WV,525,513,18
WI,581,594,7
WY,548,546,10
