depth,temperature
10,27.4158
20,27.4004
30,27.3268
40,27.1651
50,26.843
60,26.6797
70,24.961
80,21.1814
90,18.2453
100,15.5176
110,14.4404
120,13.5817
130,13.3321
140,12.9872
150,12.7473
160,12.3862
170,12.2114
180,12.039
190,11.7966
200,11.5472
210,11.3875
220,11.1977
230,11.1781
240,11.0116
250,10.8574
260,10.7814
270,10.7116
280,10.5973
290,10.5073
300,10.4206
310,10.3429
320,10.3062
330,10.1927
340,10.1095
350,10.0032
360,9.8522
370,9.7777
380,9.5546
390,9.3881
400,9.1908
410,9.0101
420,8.9463
430,8.935
440,8.7339
450,8.647
460,8.5333
470,8.3717
480,8.2041
490,8.0004
500,7.8275
520,7.5489
540,7.2588
560,7.1486
580,6.9055
600,6.7574
620,6.5738
640,6.5126
660,6.2987
680,6.0781
700,5.9647
720,5.8715
740,5.6631
760,5.5574
780,5.454
800,5.2984
820,5.233
840,5.1304
860,5.041
880,4.9498
900,4.8592
920,4.802
940,4.7393
960,4.6899
980,4.5837
1000,4.4731
