treatment,score
male_seeing_model,6.8
male_seeing_model,4.7
male_seeing_model,5.1
male_seeing_model,4.7
male_seeing_model,5.5
male_seeing_model,6
male_seeing_model,4.4
male_seeing_model,6
male_seeing_model,5.3
male_seeing_model,6.3
male_seeing_model,3.9
male_seeing_model,4.3
male_seeing_model,6.4
male_seeing_model,6.1
male_seeing_model,4.7
male_seeing_model,5.4
male_seeing_model,6.7
male_seeing_model,5.2
male_seeing_model,5.6
male_seeing_model,3.8
male_seeing_model,6.3
male_seeing_model,5.8
male_seeing_model,6.2
male_seeing_model,4.6
male_seeing_model,5.6
male_seeing_student,4.2
male_seeing_student,4.1
male_seeing_student,3.4
male_seeing_student,3.1
male_seeing_student,1.9
male_seeing_student,3.3
male_seeing_student,2.5
male_seeing_student,5
male_seeing_student,2.3
male_seeing_student,4.9
male_seeing_student,5.1
male_seeing_student,4.8
male_seeing_student,5.1
male_seeing_student,2.6
male_seeing_student,3.8
male_seeing_student,3.1
male_seeing_student,2.5
male_seeing_student,0.7
male_seeing_student,1.9
male_seeing_student,3.9
male_seeing_student,2.1
male_seeing_student,3.2
male_seeing_student,3.6
male_seeing_student,0.8
male_seeing_student,3.4
female_seeing_model,4.9
female_seeing_model,3
female_seeing_model,3.7
female_seeing_model,3.7
female_seeing_model,4.1
female_seeing_model,3.3
female_seeing_model,4
female_seeing_model,4.4
female_seeing_model,4.2
female_seeing_model,0.9
female_seeing_model,3.7
female_seeing_model,4.2
female_seeing_model,5.1
female_seeing_model,4.1
female_seeing_model,3.8
female_seeing_model,1.9
female_seeing_model,7.6
female_seeing_model,4.8
female_seeing_model,3.3
female_seeing_model,5.7
female_seeing_model,3.5
female_seeing_model,4.6
female_seeing_model,4.6
female_seeing_model,4.9
female_seeing_model,3.7
female_seeing_student,5.7
female_seeing_student,1.4
female_seeing_student,3.2
female_seeing_student,3.3
female_seeing_student,4.2
female_seeing_student,6.5
female_seeing_student,2.3
female_seeing_student,6.6
female_seeing_student,4.2
female_seeing_student,2.6
female_seeing_student,4.7
female_seeing_student,2.6
female_seeing_student,1.8
female_seeing_student,2.6
female_seeing_student,4.4
female_seeing_student,0.9
female_seeing_student,-0.5
female_seeing_student,2.4
female_seeing_student,4.3
female_seeing_student,7
female_seeing_student,4.2
female_seeing_student,1.1
female_seeing_student,2.9
female_seeing_student,3.9
female_seeing_student,1.7
control,1.1
control,3.3
control,5.1
control,4.3
control,4.3
control,5.7
control,4.9
control,5
control,3.8
control,5.9
control,3.5
control,6.5
control,3.6
control,3.6
control,1
control,5.1
control,3.7
control,4.6
control,5.1
control,4.3
control,3
control,3.1
control,2.3
control,1.9
control,6.1
