team,location,league
Hull FC,Hull UK,super league
St Helens,St Helens UK,super league
Wakefield Trinity,Wakefield UK,super league
Wigan Warriors,Wigan UK,super league
Salford Red Devils,Salford UK,super league
Huddersfield Giants,Huddersfield UK,super league
Castleford Tigers,Castleford UK,super league
Catalans Dragons,Perpignan FR,super league
Hull Kingston Rovers,Hull UK,super league
Leeds Rhinos,Leeds UK,super league
Warrington Wolves,Warrington UK,super league
Toulouse Olympique,Toulouse FR,super league
Sheffield Eagles,Sheffield UK,championship
Halifax Panthers,Halifax UK,championship
Batley Bulldogs,Batley UK,championship
Barrow Raiders,Barrow-in-Furness UK,championship
Featherstone Rovers,Featherstone UK,championship
Dewsbury Rams,Dewsbury UK,championship
London Broncos,London UK,championship
Workington Town,Workington UK,championship
Newcastle Thunder,Newcastle-upon-Tyne UK,championship
Leigh Centurions,Leigh UK,championship
Whitehaven,Whitehaven UK,championship
Widnes Vikings,Widnes UK,championship
York City Knights,York UK,championship
Bradford Bulls,Bradford UK,championship
West Wales Raiders,Llanelli UK,league one
Swinton Lions,Swinton Manchester UK,league one
Rochdale Hornets,Rochdale UK,league one
Cornwall,Penryn UK,league one
Midlands Hurricanes,Coventry UK,league one
Doncaster,Doncaster UK,league one
Keighley Cougars,Keighley UK,league one
Hunslet,Hunslet UK,league one
Oldham,Oldham UK,league one
London Skolars,London UK,league one
North Wales Crusaders,Colwyn Bay UK,league one
