abbreviation,warmblooded,flies,vertebrate,endangered,groups,hair,name
ant,1,1,1,1,2,1,ant
bee,1,2,1,1,2,2,bee
cat,2,1,2,1,1,2,cat
cpl,1,1,1,1,1,2,caterpillar
chi,2,1,2,2,2,2,chimpanzee
cow,2,1,2,1,2,2,cow
duc,2,2,2,1,2,1,duck
eag,2,2,2,2,1,1,eagle
ele,2,1,2,2,2,1,elephant
fly,1,2,1,1,1,1,fly
fro,1,1,2,2,1,1,frog
her,1,1,2,1,2,1,herring
lio,2,1,2,1,2,2,lion
liz,1,1,2,1,1,1,lizard
lob,1,1,1,1,1,1,lobster
man,2,1,2,2,2,2,human
rab,2,1,2,1,2,2,rabbit
sal,1,1,2,1,2,1,salmon
spi,1,1,1,1,1,2,spider
wha,2,1,2,2,2,1,whale
