id "score" "gender" "courses"
"1" 5 "Male" "alg"
"2" 13 "Male" "alg"
"3" 7 "Male" "alg"
"4" 20 "Male" "alg"
"5" 11 "Male" "alg"
"6" 16 "Male" "alg"
"7" 18 "Male" "alg"
"8" 4 "Male" "alg"
"9" 7 "Male" "alg"
"10" 17 "Male" "alg"
"11" 15 "Male" "alg"
"12" 9 "Male" "alg"
"13" 14 "Male" "alg"
"14" 6 "Male" "alg"
"15" 5 "Male" "alg"
"16" 11 "Male" "alg"
"17" 11 "Male" "alg"
"18" 14 "Male" "alg"
"19" 3 "Male" "alg"
"20" 2 "Male" "alg"
"21" 18 "Male" "alg"
"22" 15 "Male" "alg"
"23" 12 "Male" "alg"
"24" 18 "Male" "alg"
"25" 16 "Male" "alg"
"26" 12 "Male" "alg"
"27" 11 "Male" "alg"
"28" 12 "Male" "alg"
"29" 25 "Male" "alg"
"30" 8 "Male" "alg"
"31" 9 "Male" "alg"
"32" 13 "Male" "alg"
"33" 10 "Male" "alg"
"34" 3 "Male" "alg"
"35" 15 "Male" "alg"
"36" 17 "Male" "alg"
"37" 15 "Male" "alg"
"38" 6 "Male" "alg"
"39" 11 "Male" "alg"
"40" 15 "Male" "alg"
"41" 14 "Male" "alg"
"42" 10 "Male" "alg"
"43" 14 "Male" "alg"
"44" 7 "Male" "alg"
"45" 12 "Male" "alg"
"46" 6 "Male" "alg"
"47" 3 "Male" "alg"
"48" 15 "Male" "alg"
"49" 8 "Female" "alg"
"50" 9 "Female" "alg"
"51" 5 "Female" "alg"
"52" 5 "Female" "alg"
"53" 4 "Female" "alg"
"54" 12 "Female" "alg"
"55" 12 "Female" "alg"
"56" 10 "Female" "alg"
"57" 4 "Female" "alg"
"58" 18 "Female" "alg"
"59" 8 "Female" "alg"
"60" 1 "Female" "alg"
"61" 14 "Female" "alg"
"62" 0 "Female" "alg"
"63" 8 "Female" "alg"
"64" 6 "Female" "alg"
"65" 5 "Female" "alg"
"66" 0 "Female" "alg"
"67" 8 "Female" "alg"
"68" 7 "Female" "alg"
"69" 9 "Female" "alg"
"70" 4 "Female" "alg"
"71" 12 "Female" "alg"
"72" 10 "Female" "alg"
"73" 12 "Female" "alg"
"74" 11 "Female" "alg"
"75" 4 "Female" "alg"
"76" 8 "Female" "alg"
"77" 12 "Female" "alg"
"78" 15 "Female" "alg"
"79" 13 "Female" "alg"
"80" 10 "Female" "alg"
"81" 3 "Female" "alg"
"82" 9 "Female" "alg"
"83" 13 "Female" "alg"
"84" 3 "Female" "alg"
"85" 13 "Female" "alg"
"86" 3 "Female" "alg"
"87" 7 "Female" "alg"
"88" 7 "Female" "alg"
"89" 14 "Female" "alg"
"90" 11 "Female" "alg"
"91" 14 "Female" "alg"
"92" 13 "Female" "alg"
"93" 13 "Female" "alg"
"94" 11 "Female" "alg"
"95" 11 "Female" "alg"
"96" 15 "Female" "alg"
"97" 7 "Female" "alg"
"98" 17 "Female" "alg"
"99" 10 "Female" "alg"
"100" 15 "Female" "alg"
"101" 12 "Female" "alg"
"102" 6 "Female" "alg"
"103" 10 "Female" "alg"
"104" 8 "Female" "alg"
"105" 7 "Female" "alg"
"106" 12 "Female" "alg"
"107" 6 "Female" "alg"
"108" 8 "Female" "alg"
"109" 11 "Female" "alg"
"110" 7 "Female" "alg"
"111" 13 "Female" "alg"
"112" 8 "Female" "alg"
"113" 3 "Female" "alg"
"114" 9 "Female" "alg"
"115" 4 "Female" "alg"
"116" 12 "Female" "alg"
"117" 6 "Female" "alg"
"118" 1 "Female" "alg"
"119" 11 "Female" "alg"
"120" 15 "Female" "alg"
"121" 4 "Female" "alg"
"122" 13 "Female" "alg"
"123" 8 "Female" "alg"
"124" 2 "Female" "alg"
"125" 10 "Female" "alg"
"126" 12 "Female" "alg"
"127" 12 "Female" "alg"
"128" 13 "Female" "alg"
"129" 16 "Female" "alg"
"130" 12 "Female" "alg"
"131" 16 "Male" "alg+geom"
"132" 12 "Male" "alg+geom"
"133" 12 "Male" "alg+geom"
"134" 20 "Male" "alg+geom"
"135" 9 "Male" "alg+geom"
"136" 17 "Male" "alg+geom"
"137" 17 "Male" "alg+geom"
"138" 12 "Male" "alg+geom"
"139" 9 "Male" "alg+geom"
"140" 19 "Male" "alg+geom"
"141" 11 "Male" "alg+geom"
"142" 13 "Male" "alg+geom"
"143" 19 "Male" "alg+geom"
"144" 14 "Male" "alg+geom"
"145" 8 "Male" "alg+geom"
"146" 22 "Male" "alg+geom"
"147" 8 "Male" "alg+geom"
"148" 15 "Male" "alg+geom"
"149" 20 "Male" "alg+geom"
"150" 17 "Male" "alg+geom"
"151" 16 "Male" "alg+geom"
"152" 10 "Male" "alg+geom"
"153" 11 "Male" "alg+geom"
"154" 19 "Male" "alg+geom"
"155" 13 "Male" "alg+geom"
"156" 19 "Male" "alg+geom"
"157" 16 "Male" "alg+geom"
"158" 21 "Male" "alg+geom"
"159" 10 "Male" "alg+geom"
"160" 18 "Male" "alg+geom"
"161" 8 "Male" "alg+geom"
"162" 9 "Male" "alg+geom"
"163" 11 "Male" "alg+geom"
"164" 19 "Male" "alg+geom"
"165" 11 "Male" "alg+geom"
"166" 13 "Male" "alg+geom"
"167" 17 "Male" "alg+geom"
"168" 23 "Male" "alg+geom"
"169" 11 "Male" "alg+geom"
"170" 19 "Male" "alg+geom"
"171" 12 "Male" "alg+geom"
"172" 29 "Male" "alg+geom"
"173" 24 "Male" "alg+geom"
"174" 15 "Male" "alg+geom"
"175" 19 "Male" "alg+geom"
"176" 13 "Male" "alg+geom"
"177" 11 "Male" "alg+geom"
"178" 11 "Male" "alg+geom"
"179" 17 "Male" "alg+geom"
"180" 12 "Male" "alg+geom"
"181" 17 "Male" "alg+geom"
"182" 15 "Male" "alg+geom"
"183" 19 "Male" "alg+geom"
"184" 12 "Male" "alg+geom"
"185" 23 "Male" "alg+geom"
"186" 10 "Male" "alg+geom"
"187" 21 "Male" "alg+geom"
"188" 19 "Male" "alg+geom"
"189" 14 "Male" "alg+geom"
"190" 14 "Male" "alg+geom"
"191" 17 "Male" "alg+geom"
"192" 13 "Male" "alg+geom"
"193" 18 "Male" "alg+geom"
"194" 11 "Male" "alg+geom"
"195" 18 "Male" "alg+geom"
"196" 18 "Male" "alg+geom"
"197" 13 "Male" "alg+geom"
"198" 9 "Male" "alg+geom"
"199" 13 "Male" "alg+geom"
"200" 16 "Male" "alg+geom"
"201" 11 "Male" "alg+geom"
"202" 16 "Male" "alg+geom"
"203" 4 "Male" "alg+geom"
"204" 23 "Male" "alg+geom"
"205" 10 "Male" "alg+geom"
"206" 20 "Male" "alg+geom"
"207" 5 "Male" "alg+geom"
"208" 17 "Male" "alg+geom"
"209" 8 "Male" "alg+geom"
"210" 16 "Male" "alg+geom"
"211" 19 "Male" "alg+geom"
"212" 18 "Male" "alg+geom"
"213" 15 "Male" "alg+geom"
"214" 17 "Male" "alg+geom"
"215" 16 "Male" "alg+geom"
"216" 10 "Male" "alg+geom"
"217" 12 "Male" "alg+geom"
"218" 16 "Male" "alg+geom"
"219" 16 "Male" "alg+geom"
"220" 16 "Male" "alg+geom"
"221" 15 "Male" "alg+geom"
"222" 13 "Male" "alg+geom"
"223" 18 "Male" "alg+geom"
"224" 21 "Male" "alg+geom"
"225" 10 "Male" "alg+geom"
"226" 16 "Male" "alg+geom"
"227" 11 "Male" "alg+geom"
"228" 15 "Male" "alg+geom"
"229" 15 "Male" "alg+geom"
"230" 13 "Male" "alg+geom"
"231" 7 "Male" "alg+geom"
"232" 17 "Male" "alg+geom"
"233" 20 "Male" "alg+geom"
