sample,value
Sample1,11
Sample1,12
Sample1,14
Sample1,14
Sample1,15
Sample1,16
Sample1,17
Sample1,18
Sample1,19
Sample1,20
Sample1,22
Sample1,23
Sample1,25
Sample1,30
Sample1,35
Sample2,5
Sample2,6
Sample2,7
Sample2,10
Sample2,12
Sample2,14
Sample2,14
Sample2,15
Sample2,16
Sample2,16
Sample2,19
Sample2,20
Sample2,23
Sample2,27
Sample2,32
Sample3,0
Sample3,1
Sample3,5
Sample3,6
Sample3,8
Sample3,10
Sample3,11
Sample3,12
Sample3,13
Sample3,15
Sample3,16
Sample3,18
Sample3,24
Sample3,25
Sample3,31
