District,Group,Age,Holders,Claims,cph
1,<1l,<25,197,38,0.19289340101522842
1,<1l,25-29,264,35,0.13257575757575757
1,<1l,30-35,246,20,0.08130081300813008
1,<1l,>35,1680,156,0.09285714285714286
1,1-1.5l,<25,284,63,0.22183098591549297
1,1-1.5l,25-29,536,84,0.15671641791044777
1,1-1.5l,30-35,696,89,0.1278735632183908
1,1-1.5l,>35,3582,400,0.11166945840312674
1,1.5-2l,<25,133,19,0.14285714285714285
1,1.5-2l,25-29,286,52,0.18181818181818182
1,1.5-2l,30-35,355,74,0.2084507042253521
1,1.5-2l,>35,1640,233,0.1420731707317073
1,>2l,<25,24,4,0.16666666666666666
1,>2l,25-29,71,18,0.2535211267605634
1,>2l,30-35,99,19,0.1919191919191919
1,>2l,>35,452,77,0.17035398230088494
2,<1l,<25,85,22,0.25882352941176473
2,<1l,25-29,139,19,0.1366906474820144
2,<1l,30-35,151,22,0.1456953642384106
2,<1l,>35,931,87,0.09344790547798067
2,1-1.5l,<25,149,25,0.16778523489932887
2,1-1.5l,25-29,313,51,0.16293929712460065
2,1-1.5l,30-35,419,49,0.11694510739856802
2,1-1.5l,>35,2443,290,0.11870650839132214
2,1.5-2l,<25,66,14,0.21212121212121213
2,1.5-2l,25-29,175,46,0.26285714285714284
2,1.5-2l,30-35,221,39,0.17647058823529413
2,1.5-2l,>35,1110,143,0.12882882882882882
2,>2l,<25,9,4,0.4444444444444444
2,>2l,25-29,48,15,0.3125
2,>2l,30-35,72,12,0.16666666666666666
2,>2l,>35,322,53,0.16459627329192547
3,<1l,<25,35,5,0.14285714285714285
3,<1l,25-29,73,11,0.1506849315068493
3,<1l,30-35,89,10,0.11235955056179775
3,<1l,>35,648,67,0.10339506172839506
3,1-1.5l,<25,53,10,0.18867924528301888
3,1-1.5l,25-29,155,24,0.15483870967741936
3,1-1.5l,30-35,240,37,0.15416666666666667
3,1-1.5l,>35,1635,187,0.11437308868501529
3,1.5-2l,<25,24,8,0.3333333333333333
3,1.5-2l,25-29,78,19,0.24358974358974358
3,1.5-2l,30-35,121,24,0.19834710743801653
3,1.5-2l,>35,692,101,0.14595375722543352
3,>2l,<25,7,3,0.42857142857142855
3,>2l,25-29,29,2,0.06896551724137931
3,>2l,30-35,43,8,0.18604651162790697
3,>2l,>35,245,37,0.1510204081632653
4,<1l,<25,20,2,0.1
4,<1l,25-29,33,5,0.15151515151515152
4,<1l,30-35,40,4,0.1
4,<1l,>35,316,36,0.11392405063291139
4,1-1.5l,<25,31,7,0.22580645161290322
4,1-1.5l,25-29,81,10,0.12345679012345678
4,1-1.5l,30-35,122,22,0.18032786885245902
4,1-1.5l,>35,724,102,0.1408839779005525
4,1.5-2l,<25,18,5,0.2777777777777778
4,1.5-2l,25-29,39,7,0.1794871794871795
4,1.5-2l,30-35,68,16,0.23529411764705882
4,1.5-2l,>35,344,63,0.18313953488372092
4,>2l,<25,3,0,0
4,>2l,25-29,16,6,0.375
4,>2l,30-35,25,8,0.32
4,>2l,>35,114,33,0.2894736842105263
