id,context,i1,i2,i3,i4,i5,i6
101,control,150,44,71,59,132,74
102,control,335,270,156,160,118,230
103,control,149,52,91,115,43,154
104,control,159,31,127,212,71,224
105,control,292,125,184,246,225,170
106,control,297,187,66,96,209,74
107,control,170,37,42,66,114,81
108,control,159,0,35,75,71,34
109,same,346,175,177,192,239,140
110,same,426,329,236,76,102,232
111,same,359,238,183,123,183,30
112,same,272,60,82,85,101,98
113,same,200,271,263,144,220,180
114,same,366,291,263,144,220,180
115,same,371,364,270,308,219,267
116,same,497,402,294,216,284,255
117,different,282,186,225,134,189,169
118,different,317,31,85,120,131,205
119,different,362,104,144,114,115,127
120,different,338,132,91,77,108,169
121,different,263,94,141,142,120,195
122,different,138,38,16,95,39,55
123,different,329,62,62,6,93,67
124,different,292,139,104,184,193,122
