id "class" "age" "sex" "vote"
"1" "upper middle" ">75" "male" "conservative"
"2" "upper middle" ">75" "male" "conservative"
"3" "upper middle" ">75" "male" "conservative"
"4" "upper middle" ">75" "male" "conservative"
"5" "upper middle" ">75" "female" "conservative"
"6" "upper middle" ">75" "female" "conservative"
"7" "upper middle" ">75" "female" "conservative"
"8" "upper middle" ">75" "female" "conservative"
"9" "upper middle" ">75" "female" "conservative"
"10" "upper middle" ">75" "female" "conservative"
"11" "upper middle" ">75" "female" "conservative"
"12" "upper middle" ">75" "female" "conservative"
"13" "upper middle" ">75" "female" "conservative"
"14" "upper middle" ">75" "female" "conservative"
"15" "upper middle" "51-75" "male" "conservative"
"16" "upper middle" "51-75" "male" "conservative"
"17" "upper middle" "51-75" "male" "conservative"
"18" "upper middle" "51-75" "male" "conservative"
"19" "upper middle" "51-75" "male" "conservative"
"20" "upper middle" "51-75" "male" "conservative"
"21" "upper middle" "51-75" "male" "conservative"
"22" "upper middle" "51-75" "male" "conservative"
"23" "upper middle" "51-75" "male" "conservative"
"24" "upper middle" "51-75" "male" "conservative"
"25" "upper middle" "51-75" "male" "conservative"
"26" "upper middle" "51-75" "male" "conservative"
"27" "upper middle" "51-75" "male" "conservative"
"28" "upper middle" "51-75" "male" "conservative"
"29" "upper middle" "51-75" "male" "conservative"
"30" "upper middle" "51-75" "male" "conservative"
"31" "upper middle" "51-75" "male" "conservative"
"32" "upper middle" "51-75" "male" "conservative"
"33" "upper middle" "51-75" "male" "conservative"
"34" "upper middle" "51-75" "male" "conservative"
"35" "upper middle" "51-75" "male" "conservative"
"36" "upper middle" "51-75" "male" "conservative"
"37" "upper middle" "51-75" "male" "conservative"
"38" "upper middle" "51-75" "male" "conservative"
"39" "upper middle" "51-75" "male" "conservative"
"40" "upper middle" "51-75" "male" "conservative"
"41" "upper middle" "51-75" "male" "conservative"
"42" "upper middle" "51-75" "male" "labour"
"43" "upper middle" "51-75" "male" "labour"
"44" "upper middle" "51-75" "male" "labour"
"45" "upper middle" "51-75" "male" "labour"
"46" "upper middle" "51-75" "male" "labour"
"47" "upper middle" "51-75" "male" "labour"
"48" "upper middle" "51-75" "male" "labour"
"49" "upper middle" "51-75" "male" "labour"
"50" "upper middle" "51-75" "female" "conservative"
"51" "upper middle" "51-75" "female" "conservative"
"52" "upper middle" "51-75" "female" "conservative"
"53" "upper middle" "51-75" "female" "conservative"
"54" "upper middle" "51-75" "female" "conservative"
"55" "upper middle" "51-75" "female" "conservative"
"56" "upper middle" "51-75" "female" "conservative"
"57" "upper middle" "51-75" "female" "conservative"
"58" "upper middle" "51-75" "female" "conservative"
"59" "upper middle" "51-75" "female" "conservative"
"60" "upper middle" "51-75" "female" "conservative"
"61" "upper middle" "51-75" "female" "conservative"
"62" "upper middle" "51-75" "female" "conservative"
"63" "upper middle" "51-75" "female" "conservative"
"64" "upper middle" "51-75" "female" "conservative"
"65" "upper middle" "51-75" "female" "conservative"
"66" "upper middle" "51-75" "female" "conservative"
"67" "upper middle" "51-75" "female" "conservative"
"68" "upper middle" "51-75" "female" "conservative"
"69" "upper middle" "51-75" "female" "conservative"
"70" "upper middle" "51-75" "female" "conservative"
"71" "upper middle" "51-75" "female" "conservative"
"72" "upper middle" "51-75" "female" "conservative"
"73" "upper middle" "51-75" "female" "conservative"
"74" "upper middle" "51-75" "female" "conservative"
"75" "upper middle" "51-75" "female" "conservative"
"76" "upper middle" "51-75" "female" "labour"
"77" "upper middle" "51-75" "female" "labour"
"78" "upper middle" "51-75" "female" "labour"
"79" "upper middle" "51-75" "female" "labour"
"80" "upper middle" "51-75" "female" "labour"
"81" "upper middle" "51-75" "female" "labour"
"82" "upper middle" "51-75" "female" "labour"
"83" "upper middle" "51-75" "female" "labour"
"84" "upper middle" "51-75" "female" "labour"
"85" "upper middle" "41-50" "male" "conservative"
"86" "upper middle" "41-50" "male" "conservative"
"87" "upper middle" "41-50" "male" "conservative"
"88" "upper middle" "41-50" "male" "conservative"
"89" "upper middle" "41-50" "male" "conservative"
"90" "upper middle" "41-50" "male" "conservative"
"91" "upper middle" "41-50" "male" "conservative"
"92" "upper middle" "41-50" "male" "conservative"
"93" "upper middle" "41-50" "male" "conservative"
"94" "upper middle" "41-50" "male" "conservative"
"95" "upper middle" "41-50" "male" "conservative"
"96" "upper middle" "41-50" "male" "conservative"
"97" "upper middle" "41-50" "male" "conservative"
"98" "upper middle" "41-50" "male" "conservative"
"99" "upper middle" "41-50" "male" "conservative"
"100" "upper middle" "41-50" "male" "conservative"
"101" "upper middle" "41-50" "male" "conservative"
"102" "upper middle" "41-50" "male" "conservative"
"103" "upper middle" "41-50" "male" "conservative"
"104" "upper middle" "41-50" "male" "conservative"
"105" "upper middle" "41-50" "male" "conservative"
"106" "upper middle" "41-50" "male" "conservative"
"107" "upper middle" "41-50" "male" "conservative"
"108" "upper middle" "41-50" "male" "conservative"
"109" "upper middle" "41-50" "male" "conservative"
"110" "upper middle" "41-50" "male" "conservative"
"111" "upper middle" "41-50" "male" "conservative"
"112" "upper middle" "41-50" "male" "labour"
"113" "upper middle" "41-50" "male" "labour"
"114" "upper middle" "41-50" "male" "labour"
"115" "upper middle" "41-50" "male" "labour"
"116" "upper middle" "41-50" "female" "conservative"
"117" "upper middle" "41-50" "female" "conservative"
"118" "upper middle" "41-50" "female" "conservative"
"119" "upper middle" "41-50" "female" "conservative"
"120" "upper middle" "41-50" "female" "conservative"
"121" "upper middle" "41-50" "female" "conservative"
"122" "upper middle" "41-50" "female" "conservative"
"123" "upper middle" "41-50" "female" "conservative"
"124" "upper middle" "41-50" "female" "conservative"
"125" "upper middle" "41-50" "female" "conservative"
"126" "upper middle" "41-50" "female" "conservative"
"127" "upper middle" "41-50" "female" "conservative"
"128" "upper middle" "41-50" "female" "conservative"
"129" "upper middle" "41-50" "female" "conservative"
"130" "upper middle" "41-50" "female" "conservative"
"131" "upper middle" "41-50" "female" "conservative"
"132" "upper middle" "41-50" "female" "conservative"
"133" "upper middle" "41-50" "female" "conservative"
"134" "upper middle" "41-50" "female" "conservative"
"135" "upper middle" "41-50" "female" "conservative"
"136" "upper middle" "41-50" "female" "conservative"
"137" "upper middle" "41-50" "female" "conservative"
"138" "upper middle" "41-50" "female" "conservative"
"139" "upper middle" "41-50" "female" "conservative"
"140" "upper middle" "41-50" "female" "conservative"
"141" "upper middle" "41-50" "female" "labour"
"142" "upper middle" "41-50" "female" "labour"
"143" "upper middle" "41-50" "female" "labour"
"144" "upper middle" "41-50" "female" "labour"
"145" "upper middle" "41-50" "female" "labour"
"146" "upper middle" "41-50" "female" "labour"
"147" "upper middle" "41-50" "female" "labour"
"148" "upper middle" "41-50" "female" "labour"
"149" "upper middle" "41-50" "female" "labour"
"150" "upper middle" "26-40" "male" "conservative"
"151" "upper middle" "26-40" "male" "conservative"
"152" "upper middle" "26-40" "male" "conservative"
"153" "upper middle" "26-40" "male" "conservative"
"154" "upper middle" "26-40" "male" "conservative"
"155" "upper middle" "26-40" "male" "conservative"
"156" "upper middle" "26-40" "male" "conservative"
"157" "upper middle" "26-40" "male" "conservative"
"158" "upper middle" "26-40" "male" "conservative"
"159" "upper middle" "26-40" "male" "conservative"
"160" "upper middle" "26-40" "male" "conservative"
"161" "upper middle" "26-40" "male" "conservative"
"162" "upper middle" "26-40" "male" "conservative"
"163" "upper middle" "26-40" "male" "conservative"
"164" "upper middle" "26-40" "male" "conservative"
"165" "upper middle" "26-40" "male" "conservative"
"166" "upper middle" "26-40" "male" "conservative"
"167" "upper middle" "26-40" "male" "labour"
"168" "upper middle" "26-40" "male" "labour"
"169" "upper middle" "26-40" "male" "labour"
