Backpack_Weight,Body_Weight,Sex,Ratio
9,125,Female,0.072
8,195,Male,0.041025641025641
10,120,Female,0.083333333333333
6,155,Male,0.038709677419355
8,180,Female,0.044444444444445
5,240,Male,0.020833333333333
8,170,Male,0.047058823529412
4,185,Female,0.021621621621622
5,130,Female,0.038461538461539
2,120,Female,0.016666666666667
8,135,Female,0.059259259259259
21,160,Male,0.13125
11,170,Male,0.064705882352941
11,170,Male,0.064705882352941
12,125,Female,0.096
11,175,Male,0.062857142857143
13,145,Female,0.089655172413793
6,105,Female,0.057142857142857
10,125,Female,0.08
5,165,Male,0.03030303030303
20,170,Male,0.117647058823529
14,117,Female,0.11965811965812
11,145,Male,0.075862068965517
15,205,Female,0.073170731707317
10,270,Male,0.037037037037037
18,160,Male,0.1125
8,150,Male,0.053333333333333
5,140,Female,0.035714285714286
25,190,Male,0.131578947368421
6,165,Female,0.036363636363636
10,145,Female,0.068965517241379
15,120,Female,0.125
9,135,Female,0.066666666666667
7,145,Male,0.048275862068966
14,165,Female,0.084848484848485
17,145,Female,0.117241379310345
14,140,Female,0.1
11,160,Male,0.06875
4,155,Male,0.025806451612903
8,143,Female,0.055944055944056
8,145,Female,0.055172413793104
13,135,Female,0.096296296296296
10,130,Female,0.076923076923077
15,165,Female,0.090909090909091
10,140,Female,0.071428571428572
5,115,Female,0.043478260869565
6,128,Female,0.046875
5,150,Female,0.033333333333333
13,220,Male,0.059090909090909
10,150,Female,0.066666666666667
19,170,Male,0.111764705882353
8,155,Male,0.051612903225807
21,116,Female,0.181034482758621
16,190,Male,0.08421052631579
13,145,Female,0.089655172413793
17,144,Female,0.118055555555556
10,130,Female,0.076923076923077
5,185,Male,0.027027027027027
9,140,Female,0.064285714285714
13,125,Female,0.104
10,175,Male,0.057142857142857
10,150,Female,0.066666666666667
11,180,Male,0.061111111111111
8,140,Female,0.057142857142857
12,220,Male,0.054545454545455
35,195,Male,0.179487179487179
12,127,Female,0.094488188976378
14,150,Female,0.093333333333333
2,125,Male,0.016
5,125,Female,0.04
6,180,Male,0.033333333333333
20,180,Male,0.111111111111111
14,150,Male,0.093333333333333
14,125,Female,0.112
8,160,Male,0.05
25,144,Female,0.173611111111111
2,105,Female,0.019047619047619
8,125,Female,0.064
15,130,Female,0.115384615384615
10,120,Female,0.083333333333333
25,175,Female,0.142857142857143
24,145,Female,0.16551724137931
5,115,Female,0.043478260869565
10,110,Female,0.090909090909091
19,130,Female,0.146153846153846
13,135,Female,0.096296296296296
9,128,Female,0.0703125
14,135,Male,0.103703703703704
20,170,Male,0.117647058823529
16,175,Male,0.091428571428572
18,150,Male,0.12
18,160,Male,0.1125
11,168,Male,0.065476190476191
13,155,Male,0.083870967741936
15,210,Male,0.071428571428572
14,165,Male,0.084848484848485
6,195,Male,0.030769230769231
11,130,Male,0.084615384615385
9,140,Male,0.064285714285714
15,170,Male,0.088235294117647
