sex handspan
M 21.5
M 22.5
M 23.5
F 20
F 19
F 20.5
F 20.5
F 20.25
M 23
M 24.5
M 23
F 20
M 26
M 23
F 18
M 21.5
F 20.5
M 21.5
F 22
M 24.5
F 20
F 21.5
M 23.5
F 17
F 16
M 22
F 22
F 22
F 20
M 23.5
M 22
M 22
M 24.5
F 20
F 20
F 20
F 21.7
F 22
F 20
F 21
F 21
F 19
F 21
F 20.25
F 21
F 22
F 18
F 20
M 23
M 22.5
M 19.5
M 22.5
M 22
M 23
M 22.5
M 20.5
M 21.5
M 23
M 22.5
M 21.5
M 25
F 21
F 19
F 22.5
F 21
F 20
F 19
F 21
F 20.5
F 21
F 22
F 20
F 20
F 18
F 21
F 22.5
F 22.5
M 24
M 21.5
M 21.5
M 18
M 20
M 22
M 24
M 22
M 23
M 22
M 22
M 23
M 22.5
M 25.5
M 24
F 19
F 19
F 19
F 22.5
F 20
F 13
F 20
F 22.5
F 19.5
F 18.5
F 19
F 17.5
F 18
F 21
F 19.5
F 20
F 19
F 21.5
F 18
F 19
F 19.5
F 20
F 22.5
M 23.5
M 21
M 25.5
M 23
M 22.5
M 24
M 21.5
M 22
M 22.5
M 23
M 18.5
M 21
M 24
M 23.5
M 24.5
M 23
M 22
M 23
M 23
M 24
M 24.5
F 21
F 18
F 22
F 18.5
F 19
F 22
F 12.5
F 18
F 20.5
F 19
F 20
F 21
F 19
F 19
F 21
F 18.5
F 19
F 21.5
F 21.5
F 23
F 23.25
F 20
F 18.8
F 21
F 17
F 21
F 20
F 20.5
F 20
F 19.5
F 21
F 21
F 20
M 20.5
M 24
M 22
M 23
M 21
M 22.5
M 21.5
M 24.5
M 22
M 22
M 21
M 23
M 22.5
M 24
M 22.5
M 23
M 23
M 23
M 21.5
M 19
M 21.5
